Show	Category	Section	Aggregation 1	Aggregation 2	Aggregation 3	Aggregation 4	Aggregation 5
Dounby	Horses and Ponies	Clydesdales	Pure-Bred Heavy Horses	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Clydesdales (In-Hand)	Pure-Bred Heavy Horses	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Pure-Bred Heavy Horses (In-Hand)	Pure-Bred Heavy Horses	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Any Other Heavy Breed (In-Hand)	Pure-Bred Heavy Horses	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Any Other Heavy Horse or Pony (In-Hand)	Pure-Bred Heavy Horses	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Garrons	Highland Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Highland Garrons	Highland Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Highland Ponies (In-Hand)	Highland Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Highland Ponies	Highland Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Cobs	Cobs	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Shetland Ponies	Shetland Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Shetland Ponies (In-Hand)	Shetland Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Lead Rein	Lead Rein	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	First Ridden	First Ridden	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Any Other Mountatin and Moorland Breed	Any Other Mountatin and Moorland Breed	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Any Other Mountatin and Moorland Breed (In-Hand)	Any Other Mountatin and Moorland Breed	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Light Legged Ponies In-Hand	Light Legged Ponies In-Hand	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Ponies In-Hand	Light Legged Ponies In-Hand	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Ridden Ponies	Ridden Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Turnouts, Conveyances, Horse & Harness	Turnouts, Conveyances, Horse & Harness	Horses and Ponies	Dounby	NA	NA
Dounby	Horses and Ponies	Horses and Ponies	Horses and Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Ponies and Riding Horses	Ponies and Riding Horses	Ponies and Riding Horses	Horses and Ponies	Dounby	NA	NA
Dounby	Shetland Ponies	Shetland Ponies	Shetland Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Ponies and Riding Horses	Lead Rein	Lead Rein	Horses and Ponies	Dounby	NA	NA
Dounby	Ponies and Riding Horses	Any Other Mountatin and Moorland Breed	Any Other Mountatin and Moorland Breed	Horses and Ponies	Dounby	NA	NA
Dounby	Ponies and Riding Horses	Ponies In-Hand	Light Legged Ponies In-Hand	Horses and Ponies	Dounby	NA	NA
Dounby	Ponies and Riding Horses	Light Legged Ponies In-Hand	Light Legged Ponies In-Hand	Horses and Ponies	Dounby	NA	NA
Dounby	Ponies and Riding Horses	Ridden Ponies	Ridden Ponies	Horses and Ponies	Dounby	NA	NA
Dounby	Ponies and Riding Horses	Turnouts, Conveyances, Horse & Harness	Turnouts, Conveyances, Horse & Harness	Horses and Ponies	Dounby	NA	NA
Dounby	Cattle	Shorthorn Cattle - Pedigreed	Shorthorn	Cattle	Dounby	Pedigree	Native
Dounby	Cattle	Aberdeen-Angus Cattle - Pedigreed	Aberdeen-Angus	Cattle	Dounby	Pedigree	Native
Dounby	Cattle	Cross-Bred - Red, White & Roan	Coloured Cross	Cattle	Dounby	Cross	Cross
Dounby	Cattle	Cross-Bred Coloured - Red, White & Roan	Coloured Cross	Cattle	Dounby	Cross	Cross
Dounby	Cattle	Horned & Coloured Cattle - Cross	Coloured Cross	Cattle	Dounby	Cross	Cross
Dounby	Cattle	Coloured	Coloured Cross	Cattle	Dounby	Cross	Cross
Dounby	Cattle	Cross Cattle Coloured and Horned	Coloured Cross	Cattle	Dounby	Cross	Cross
Dounby	Cattle	Hereford	Hereford	Cattle	Dounby	Pedigree	Native
Dounby	Cattle	Any Other Pure Breed	Any Other Pure Breed	Cattle	Dounby	Pedigree	NA
Dounby	Cattle	Any Other Pure Native Breed	Any Other Pure Native Breed	Cattle	Dounby	Pedigree	Native
Dounby	Cattle	Any Pure Continental Breed	Any Pure Continental Breed	Cattle	Dounby	Pedigree	Continental
Dounby	Cattle	Polled Cattle, Cross	Black Cross	Cattle	Dounby	Cross	Cross
Dounby	Cattle	Blue, Grey and Black or Black and White Cross	Black Cross	Cattle	Dounby	Cross	Cross
Dounby	Cattle	Black and Blue Polled Cattle - Section I	Black Cross	Cattle	Dounby	Cross	Cross
Dounby	Cattle	Black and Blue Polled Cattle - Section II	Black Cross	Cattle	Dounby	Cross	Cross
Dounby	Cattle	Young Handlers	Young Handlers	Cattle	Dounby	NA	NA
Dounby	Cattle	Dairy Cattle	Dairy Cattle	Cattle	Dounby	NA	NA
Dounby	Cattle	Dairy Cattle Friesian	Dairy Cattle	Cattle	Dounby	NA	NA
Dounby	Cattle	Dairy Cattle Ayrshire	Dairy Cattle	Cattle	Dounby	NA	NA
Dounby	Sheep	Border Leicester	Border Leicester	Sheep	Dounby	Pedigree	Native
Dounby	Sheep	Cheviot	Cheviot	Sheep	Dounby	Pedigree	Native
Dounby	Sheep	Suffolk	Suffolk	Sheep	Dounby	Pedigree	Native
Dounby	Sheep	Texel	Texel	Sheep	Dounby	Pedigree	Continental
Dounby	Sheep	Charollais	Charollais	Sheep	Dounby	Pedigree	Continental
Dounby	Sheep	Beltex	Beltex	Sheep	Dounby	Pedigree	Continental
Dounby	Sheep	Any Other Pure Bred	Any Other Pure Bred	Sheep	Dounby	Pedigree	Pedigree
Dounby	Sheep	Cross-Bred	Cross-Bred	Sheep	Dounby	Cross	Cross
Dounby	Sheep	Half-Bred (Border Leicester/Cheviot crosses only)	Cross-Bred	Sheep	Dounby	Cross	Cross
Dounby	Sheep	Half-Bred	Cross-Bred	Sheep	Dounby	Cross	Cross
Dounby	Sheep	Half-Bred (Border Leicester x Cheviot)	Cross-Bred	Sheep	Dounby	Cross	Cross
Dounby	Sheep	Young Handlers	Young Handlers	Sheep	Dounby	NA	NA
Dounby	Goats	Goats	Goats	Goats	Dounby	NA	NA
Dounby	Dogs	Dogs	Dogs	Dogs	Dounby	NA	NA
Dounby	Pets	Pets	Pets	Pets	Dounby	NA	NA
Dounby	Poultry	Poultry	Poultry	Poultry	Dounby	NA	NA
Dounby	Poultry	Junior Section (16yrs and under)	Poultry	Poultry	Dounby	NA	NA
Dounby	Bantams	Bantams	Poultry	Poultry	Dounby	NA	NA
Dounby	Poultry	Any Other Variety	Poultry	Poultry	Dounby	NA	NA
County	Horses and Ponies	Light Legged Horses - Senior and Young - In-Hand	Light Legged Horses	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Light Legged Horses - Ridden	Light Legged Horses	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Light Legged Horses - Senior In-Hand	Light Legged Horses	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Light Legged Horses - Young - In-Hand and Ridden	Light Legged Horses	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Light Legged Horses	Light Legged Horses	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Highland Ponies - In Hand	Highland Ponies	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Shetland Ponies	Shetland Ponies	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Shetland Ponies Miniatures	Shetland Ponies	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Pure-Bred Heavy Horse (Clydesdales & Shires)	Pure-Bred Heavy Horses	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Clydesdales	Pure-Bred Heavy Horses	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Heavy Horse Turnout	Heavy Horse Turnout	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Carriage Driving	Carriage Driving	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Turnouts (conveyance, horse and harness)	Heavy Horse Turnout	Horses and Ponies	County	NA	NA
County	Horses and Ponies	Leading Rein	Leading Rein	Horses and Ponies	County	NA	NA
County	Cattle	Pure-Bred Shorthorns	Shorthorn	Cattle	County	Pedigree	Native
County	Cattle	Pure-Bred Herefords	Hereford	Cattle	County	Pedigree	Native
County	Cattle	Native Pure Breeds	Native Pure Breeds	Cattle	County	Pedigree	Native
County	Cattle	Pure-Bred Aberdeen-Angus	Aberdeen-Angus	Cattle	County	Pedigree	Native
County	Cattle	Pure-Bred Charolais	Charolais	Cattle	County	Pedigree	Continental
County	Cattle	Pure-Bred Limousins	Limousin	Cattle	County	Pedigree	Continental
County	Cattle	Other Pure-Bred Continentals	Other Pure-Bred Continentals	Cattle	County	Pedigree	Continental
County	Cattle	Pure-Bred Continentals	Pure-Bred Continentals	Cattle	County	Pedigree	Continental
County	Cattle	Any Other Pure Breed	Any Other Pure Breed	Cattle	County	Pedigree	NA
County	Cattle	Pure-Bred Coloured	Pure-Bred Continentals	Cattle	County	Pedigree	Continental
County	Cattle	Cross-Bred Coloured	Coloured Cross	Cattle	County	Cross	Cross
County	Cattle	Cross-Bred - Black/Blue Polled	Black Cross	Cattle	County	Cross	Cross
County	Cattle	Best Group of Three Cattle (bred by exhibitor)	Group of Three	Cattle	County	NA	NA
County	Cattle	Young Handlers	Young Handlers	Cattle	County	NA	NA
County	Cattle	Young Farmers	Young Handlers	Cattle	County	NA	NA
County	Cattle	Pens of Four	Pens of Four	Cattle	County	NA	NA
County	Cattle	Holstein Friesian	Dairy Cattle	Cattle	County	NA	NA
County	Cattle	Friesian	Dairy Cattle	Cattle	County	NA	NA
County	Cattle	Ayrshire	Dairy Cattle	Cattle	County	NA	NA
County	Cattle	Any Other Dairy Breed	Dairy Cattle	Cattle	County	NA	NA
County	Sheep	Border Leicester	Border Leicester	Sheep	County	Pedigree	Native
County	Sheep	Suffolk	Suffolk	Sheep	County	Pedigree	Native
County	Sheep	Texel	Texel	Sheep	County	Pedigree	Continental
County	Sheep	Cross-Bred	Cross-Bred	Sheep	County	Cross	Cross
County	Sheep	Half-Bred Sheep	Cross-Bred	Sheep	County	Cross	Cross
County	Sheep	Cheviot	Cheviot	Sheep	County	Pedigree	Native
County	Sheep	Health Scheme Sheep	Health Scheme Sheep	Sheep	County	NA	NA
County	Sheep	Health Scheme Sheep - Charollais	Charollais	Sheep	County	Pedigree	Continental
County	Sheep	Charollais	Charollais	Sheep	County	Pedigree	Continental
County	Sheep	Beltex	Beltex	Sheep	County	Pedigree	Continental
County	Sheep	Scottish Beltex National Show - Orkney Entries	Beltex	Sheep	County	Pedigree	Continental
County	Sheep	Scottish Beltex National Show - Open Entries	NA	NA	NA	NA	NA
County	Sheep	Zwartble	Zwartble	Sheep	County	Pedigree	Continental
County	Sheep	Any Other Breed Pure-Bred	Any Other Breed Pure-Bred	Sheep	County	Pedigree	NA
County	Sheep	Pair of Prime Lambs (Any Breed)	Pair of Prime Lambs (Any Breed)	Sheep	County	NA	NA
County	Sheep	Young Handlers	Young Handlers	Sheep	County	NA	NA
County	Goats	Goats	Goats	Goats	County	NA	NA
County	Poultry	Poultry	Poultry	Poultry	County	NA	NA
County	Bantams	Bantams	Poultry	Poultry	County	NA	NA
County	Poultry	Junior Section	Poultry	Poultry	County	NA	NA
